STOP_ID,STOP_NAME,STOP_LAT,STOP_LON,geometry,lon,lat,index_right,zip_code,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,NAME_x,mean_commute_time,NAME_y,median_income
80114,Firestone Station,33.959611,-118.243205,POINT (-118.243205 33.959611),-118.243205,33.959611,7684,90002,90002,B5,G6350,S,7750658,0,+33.9489868,-118.2467796,ZCTA5 90002,11.883,ZCTA5 90002,54221.0
80115,Florence Station,33.97374,-118.243271,POINT (-118.243271 33.97374),-118.243271,33.97374,7683,90001,90001,B5,G6350,S,8495419,0,+33.9736648,-118.2490388,ZCTA5 90001,14.121,ZCTA5 90001,57698.0
80116,Slauson Station,33.98876,-118.243398,POINT (-118.243398 33.98876),-118.243398,33.98876,7683,90001,90001,B5,G6350,S,8495419,0,+33.9736648,-118.2490388,ZCTA5 90001,14.121,ZCTA5 90001,57698.0
80117,Vernon Station,34.00292,-118.243303,POINT (-118.243303 34.00292),-118.243303,34.00292,7685,90058,90058,B5,G6350,S,14986641,442625,+34.0028436,-118.2163997,ZCTA5 90058,0.635,ZCTA5 90058,34093.0
80118,Washington Station,34.01965,-118.243084,POINT (-118.243084 34.01965),-118.243084,34.01965,7685,90058,90058,B5,G6350,S,14986641,442625,+34.0028436,-118.2163997,ZCTA5 90058,0.635,ZCTA5 90058,34093.0
80119,San Pedro Street Station,34.026807,-118.255505,POINT (-118.255505 34.026807),-118.255505,34.026807,28286,90021,90021,B5,G6350,S,5120416,29156,+34.0290360,-118.2378702,ZCTA5 90021,0.824,ZCTA5 90021,29659.0
80120,Grand / LATTC Station,34.033155,-118.269333,POINT (-118.269333 34.033155),-118.269333,34.033155,27840,90015,90015,B5,G6350,S,4385528,0,+34.0393093,-118.2662548,ZCTA5 90015,8.966,ZCTA5 90015,61959.0
80121,Pico Station,34.040735,-118.266118,POINT (-118.266118 34.040735),-118.266118,34.040735,27840,90015,90015,B5,G6350,S,4385528,0,+34.0393093,-118.2662548,ZCTA5 90015,8.966,ZCTA5 90015,61959.0
80122,7th Street / Metro Center Station - Metro A & E Lines,34.04861,-118.258822,POINT (-118.258822 34.04861),-118.258822,34.04861,27872,90017,90017,B5,G6350,S,1831103,0,+34.0530983,-118.2645052,ZCTA5 90017,8.741,ZCTA5 90017,46626.0
80123,LATTC / Ortho Institute Station,34.029112,-118.273603,POINT (-118.273603 34.029112),-118.273603,34.029112,7950,90007,90007,B5,G6350,S,6294013,0,+34.0281645,-118.2848289,ZCTA5 90007,9.231,ZCTA5 90007,36326.0
80124,Jefferson / USC Station,34.022123,-118.278118,POINT (-118.278118 34.022123),-118.278118,34.022123,7950,90007,90007,B5,G6350,S,6294013,0,+34.0281645,-118.2848289,ZCTA5 90007,9.231,ZCTA5 90007,36326.0
80125,Expo Park / USC Station,34.018227,-118.285734,POINT (-118.285734 34.018227),-118.285734,34.018227,28971,90089,90089,B5,G6350,S,844417,0,+34.0215432,-118.2855741,ZCTA5 90089,0.511,ZCTA5 90089,-666666666.0
80126,Expo / Vermont Station,34.018245,-118.29154,POINT (-118.29154 34.018245),-118.29154,34.018245,7950,90007,90007,B5,G6350,S,6294013,0,+34.0281645,-118.2848289,ZCTA5 90007,9.231,ZCTA5 90007,36326.0
80127,Expo / Western Station,34.018331,-118.30891,POINT (-118.30891 34.018331),-118.30891,34.018331,28010,90018,90018,B5,G6350,S,7771932,0,+34.0286320,-118.3173467,ZCTA5 90018,12.131,ZCTA5 90018,58987.0
80128,Expo / Crenshaw E-Line Station,34.022526,-118.335078,POINT (-118.335078 34.022526),-118.335078,34.022526,28010,90018,90018,B5,G6350,S,7771932,0,+34.0286320,-118.3173467,ZCTA5 90018,12.131,ZCTA5 90018,58987.0
80129,Farmdale Station,34.023981,-118.346095,POINT (-118.346095 34.023981),-118.346095,34.023981,7951,90016,90016,B5,G6350,S,9316180,16402,+34.0283315,-118.3543375,ZCTA5 90016,13.063,ZCTA5 90016,63090.0
80130,Expo / La Brea / Ethel Bradley Station,34.024803,-118.355159,POINT (-118.355159 34.024803),-118.355159,34.024803,7951,90016,90016,B5,G6350,S,9316180,16402,+34.0283315,-118.3543375,ZCTA5 90016,13.063,ZCTA5 90016,63090.0
80131,La Cienega / Jefferson Station,34.026355,-118.37212,POINT (-118.37212 34.026355),-118.37212,34.026355,7951,90016,90016,B5,G6350,S,9316180,16402,+34.0283315,-118.3543375,ZCTA5 90016,13.063,ZCTA5 90016,63090.0
80132,Culver City Station,34.027896,-118.388986,POINT (-118.388986 34.027896),-118.388986,34.027896,8017,90232,90232,B5,G6350,S,5600908,37209,+34.0193227,-118.3919023,ZCTA5 90232,4.613,ZCTA5 90232,113278.0
80133,Palms Station,34.029323,-118.404255,POINT (-118.404255 34.029323),-118.404255,34.029323,8330,90034,90034,B5,G6350,S,8031974,23525,+34.0305777,-118.3996127,ZCTA5 90034,17.975,ZCTA5 90034,97511.0
80134,Westwood / Rancho Park Station,34.036816,-118.424576,POINT (-118.424576 34.036816),-118.424576,34.036816,7952,90064,90064,B5,G6350,S,9646305,3034,+34.0353095,-118.4264862,ZCTA5 90064,7.689,ZCTA5 90064,123929.0
